experiment_id,video_id,model_name,technique_name,rag_enabled,gt_ingredient_count,pred_ingredient_count,true_positives,false_positives
2157,6,Phi-4-mini 3.8B Instruct,structured-output,0,6,6,36,0
2158,6,Qwen 2.5 3B Instruct,zero-shot,0,6,3,18,0
2159,6,Qwen 2.5 3B Instruct,few-shot,0,6,6,36,0
2160,6,Qwen 2.5 3B Instruct,chain-of-thought,0,6,4,24,0
2161,6,Qwen 2.5 3B Instruct,structured-output,0,6,4,24,0
2162,6,Gemma-SEA-LION v4 4B,zero-shot,0,6,5,30,0
2163,6,Gemma-SEA-LION v4 4B,few-shot,0,6,6,36,0
2164,6,Gemma-SEA-LION v4 4B,chain-of-thought,0,6,5,30,0
2165,6,Gemma-SEA-LION v4 4B,structured-output,0,6,6,36,0
2166,6,MedGemma 4B,zero-shot,0,6,6,36,0
2167,6,MedGemma 4B,few-shot,0,6,6,36,0
2168,6,MedGemma 4B,chain-of-thought,0,6,6,36,0
2169,6,MedGemma 4B,structured-output,0,6,6,36,0
2171,7,Llama 3.2 3B Instruct,few-shot,0,7,1,7,0
2172,7,Llama 3.2 3B Instruct,chain-of-thought,0,7,5,35,0
2173,7,Llama 3.2 3B Instruct,structured-output,0,7,1,7,0
2174,7,Phi-4-mini 3.8B Instruct,zero-shot,0,7,5,35,0
2176,7,Phi-4-mini 3.8B Instruct,chain-of-thought,0,7,6,42,0
2177,7,Phi-4-mini 3.8B Instruct,structured-output,0,7,6,42,0
2178,7,Qwen 2.5 3B Instruct,zero-shot,0,7,1,7,0
2179,7,Qwen 2.5 3B Instruct,few-shot,0,7,1,7,0
2180,7,Qwen 2.5 3B Instruct,chain-of-thought,0,7,1,7,0
2181,7,Qwen 2.5 3B Instruct,structured-output,0,7,1,7,0
2182,7,Gemma-SEA-LION v4 4B,zero-shot,0,7,8,56,0
2183,7,Gemma-SEA-LION v4 4B,few-shot,0,7,7,49,0
2184,7,Gemma-SEA-LION v4 4B,chain-of-thought,0,7,8,56,0
2185,7,Gemma-SEA-LION v4 4B,structured-output,0,7,8,56,0
2186,7,MedGemma 4B,zero-shot,0,7,9,63,0
2187,7,MedGemma 4B,few-shot,0,7,9,63,0
2188,7,MedGemma 4B,chain-of-thought,0,7,9,63,0
2189,7,MedGemma 4B,structured-output,0,7,9,63,0
2190,8,Llama 3.2 3B Instruct,zero-shot,0,2,6,12,0
2191,8,Llama 3.2 3B Instruct,few-shot,0,2,3,6,0
2192,8,Llama 3.2 3B Instruct,chain-of-thought,0,2,7,14,0
2193,8,Llama 3.2 3B Instruct,structured-output,0,2,6,12,0
2194,8,Phi-4-mini 3.8B Instruct,zero-shot,0,2,2,4,0
2195,8,Phi-4-mini 3.8B Instruct,few-shot,0,2,2,4,0
2196,8,Phi-4-mini 3.8B Instruct,chain-of-thought,0,2,1,2,0
2197,8,Phi-4-mini 3.8B Instruct,structured-output,0,2,13,26,0
2198,8,Qwen 2.5 3B Instruct,zero-shot,0,2,7,14,0
2199,8,Qwen 2.5 3B Instruct,few-shot,0,2,6,12,0
2200,8,Qwen 2.5 3B Instruct,chain-of-thought,0,2,9,18,0
2201,8,Qwen 2.5 3B Instruct,structured-output,0,2,7,14,0
2202,8,Gemma-SEA-LION v4 4B,zero-shot,0,2,9,18,0
2203,8,Gemma-SEA-LION v4 4B,few-shot,0,2,7,14,0
2204,8,Gemma-SEA-LION v4 4B,chain-of-thought,0,2,10,20,0
2205,8,Gemma-SEA-LION v4 4B,structured-output,0,2,10,20,0
2206,8,MedGemma 4B,zero-shot,0,2,6,12,0
2207,8,MedGemma 4B,few-shot,0,2,7,14,0
2208,8,MedGemma 4B,chain-of-thought,0,2,6,12,0
2209,8,MedGemma 4B,structured-output,0,2,6,12,0
2210,9,Llama 3.2 3B Instruct,zero-shot,0,14,19,266,0
2211,9,Llama 3.2 3B Instruct,few-shot,0,14,10,140,0
2212,9,Llama 3.2 3B Instruct,chain-of-thought,0,14,9,126,0
2213,9,Llama 3.2 3B Instruct,structured-output,0,14,3,42,0
2214,9,Phi-4-mini 3.8B Instruct,zero-shot,0,14,13,182,0
2215,9,Phi-4-mini 3.8B Instruct,few-shot,0,14,3,42,0
2216,9,Phi-4-mini 3.8B Instruct,chain-of-thought,0,14,15,210,0
2217,9,Phi-4-mini 3.8B Instruct,structured-output,0,14,4,56,0
2218,9,Qwen 2.5 3B Instruct,zero-shot,0,14,5,70,0
2219,9,Qwen 2.5 3B Instruct,few-shot,0,14,5,70,0
2220,9,Qwen 2.5 3B Instruct,chain-of-thought,0,14,6,84,0
2221,9,Qwen 2.5 3B Instruct,structured-output,0,14,3,42,0
2222,9,Gemma-SEA-LION v4 4B,zero-shot,0,14,18,252,0
2223,9,Gemma-SEA-LION v4 4B,few-shot,0,14,16,224,0
2224,9,Gemma-SEA-LION v4 4B,chain-of-thought,0,14,19,266,0
2225,9,Gemma-SEA-LION v4 4B,structured-output,0,14,15,210,0
2226,9,MedGemma 4B,zero-shot,0,14,19,266,0
2227,9,MedGemma 4B,few-shot,0,14,18,252,0
2228,9,MedGemma 4B,chain-of-thought,0,14,19,266,0
2229,9,MedGemma 4B,structured-output,0,14,19,266,0
2230,10,Llama 3.2 3B Instruct,zero-shot,0,15,13,195,0
2231,10,Llama 3.2 3B Instruct,few-shot,0,15,12,180,0
2232,10,Llama 3.2 3B Instruct,chain-of-thought,0,15,4,60,0
2233,10,Llama 3.2 3B Instruct,structured-output,0,15,13,195,0
2234,10,Phi-4-mini 3.8B Instruct,zero-shot,0,15,14,210,0
2235,10,Phi-4-mini 3.8B Instruct,few-shot,0,15,5,75,0
2236,10,Phi-4-mini 3.8B Instruct,chain-of-thought,0,15,6,90,0
2237,10,Phi-4-mini 3.8B Instruct,structured-output,0,15,5,75,0
2238,10,Qwen 2.5 3B Instruct,zero-shot,0,15,5,75,0
2239,10,Qwen 2.5 3B Instruct,few-shot,0,15,6,90,0
2240,10,Qwen 2.5 3B Instruct,chain-of-thought,0,15,2,30,0
2241,10,Qwen 2.5 3B Instruct,structured-output,0,15,8,120,0
2242,10,Gemma-SEA-LION v4 4B,zero-shot,0,15,13,195,0
2243,10,Gemma-SEA-LION v4 4B,few-shot,0,15,13,195,0
2244,10,Gemma-SEA-LION v4 4B,chain-of-thought,0,15,15,225,0
2245,10,Gemma-SEA-LION v4 4B,structured-output,0,15,13,195,0
2246,10,MedGemma 4B,zero-shot,0,15,15,225,0
2247,10,MedGemma 4B,few-shot,0,15,14,210,0
2248,10,MedGemma 4B,chain-of-thought,0,15,14,210,0
2249,10,MedGemma 4B,structured-output,0,15,14,210,0
2250,11,Llama 3.2 3B Instruct,zero-shot,0,6,12,72,0
2251,11,Llama 3.2 3B Instruct,few-shot,0,6,7,42,0
2252,11,Llama 3.2 3B Instruct,chain-of-thought,0,6,6,36,0
2253,11,Llama 3.2 3B Instruct,structured-output,0,6,9,54,0
2254,11,Phi-4-mini 3.8B Instruct,zero-shot,0,6,5,30,0
2255,11,Phi-4-mini 3.8B Instruct,few-shot,0,6,12,72,0
2256,11,Phi-4-mini 3.8B Instruct,chain-of-thought,0,6,8,48,0
2257,11,Phi-4-mini 3.8B Instruct,structured-output,0,6,7,42,0
2258,11,Qwen 2.5 3B Instruct,zero-shot,0,6,9,54,0
2259,11,Qwen 2.5 3B Instruct,few-shot,0,6,7,42,0
2260,11,Qwen 2.5 3B Instruct,chain-of-thought,0,6,8,48,0
2261,11,Qwen 2.5 3B Instruct,structured-output,0,6,7,42,0
2262,11,Gemma-SEA-LION v4 4B,zero-shot,0,6,11,66,0
2263,11,Gemma-SEA-LION v4 4B,few-shot,0,6,11,66,0
2264,11,Gemma-SEA-LION v4 4B,chain-of-thought,0,6,11,66,0
2265,11,Gemma-SEA-LION v4 4B,structured-output,0,6,11,66,0
2266,11,MedGemma 4B,zero-shot,0,6,10,60,0
2267,11,MedGemma 4B,few-shot,0,6,9,54,0
2268,11,MedGemma 4B,chain-of-thought,0,6,9,54,0
2269,11,MedGemma 4B,structured-output,0,6,8,48,0
2270,12,Llama 3.2 3B Instruct,zero-shot,0,4,5,20,0
2271,12,Llama 3.2 3B Instruct,few-shot,0,4,3,12,0
2272,12,Llama 3.2 3B Instruct,chain-of-thought,0,4,5,20,0
2273,12,Llama 3.2 3B Instruct,structured-output,0,4,5,20,0
2274,12,Phi-4-mini 3.8B Instruct,zero-shot,0,4,4,16,0
2275,12,Phi-4-mini 3.8B Instruct,few-shot,0,4,3,12,0
2276,12,Phi-4-mini 3.8B Instruct,chain-of-thought,0,4,4,16,0
2277,12,Phi-4-mini 3.8B Instruct,structured-output,0,4,4,16,0
2278,12,Qwen 2.5 3B Instruct,zero-shot,0,4,4,16,0
2279,12,Qwen 2.5 3B Instruct,few-shot,0,4,4,16,0
2280,12,Qwen 2.5 3B Instruct,chain-of-thought,0,4,4,16,0
2281,12,Qwen 2.5 3B Instruct,structured-output,0,4,4,16,0
2282,12,Gemma-SEA-LION v4 4B,zero-shot,0,4,6,24,0
2283,12,Gemma-SEA-LION v4 4B,few-shot,0,4,5,20,0
2284,12,Gemma-SEA-LION v4 4B,chain-of-thought,0,4,6,24,0
2285,12,Gemma-SEA-LION v4 4B,structured-output,0,4,5,20,0
2286,12,MedGemma 4B,zero-shot,0,4,5,20,0
2287,12,MedGemma 4B,few-shot,0,4,5,20,0
2288,12,MedGemma 4B,chain-of-thought,0,4,5,20,0
2289,12,MedGemma 4B,structured-output,0,4,5,20,0
2290,13,Llama 3.2 3B Instruct,zero-shot,0,6,4,24,0
2291,13,Llama 3.2 3B Instruct,few-shot,0,6,2,12,0
2292,13,Llama 3.2 3B Instruct,chain-of-thought,0,6,7,42,0
2293,13,Llama 3.2 3B Instruct,structured-output,0,6,2,12,0
2294,13,Phi-4-mini 3.8B Instruct,zero-shot,0,6,2,12,0
2295,13,Phi-4-mini 3.8B Instruct,few-shot,0,6,12,72,0
2296,13,Phi-4-mini 3.8B Instruct,chain-of-thought,0,6,3,18,0
2297,13,Phi-4-mini 3.8B Instruct,structured-output,0,6,2,12,0
2298,13,Qwen 2.5 3B Instruct,zero-shot,0,6,1,6,0
2299,13,Qwen 2.5 3B Instruct,few-shot,0,6,1,6,0
2300,13,Qwen 2.5 3B Instruct,chain-of-thought,0,6,10,60,0
2301,13,Qwen 2.5 3B Instruct,structured-output,0,6,1,6,0
2302,13,Gemma-SEA-LION v4 4B,zero-shot,0,6,12,72,0
2303,13,Gemma-SEA-LION v4 4B,few-shot,0,6,13,78,0
2304,13,Gemma-SEA-LION v4 4B,chain-of-thought,0,6,12,72,0
2305,13,Gemma-SEA-LION v4 4B,structured-output,0,6,12,72,0
2306,13,MedGemma 4B,zero-shot,0,6,11,66,0
2307,13,MedGemma 4B,few-shot,0,6,14,84,0
2308,13,MedGemma 4B,chain-of-thought,0,6,15,90,0
2309,13,MedGemma 4B,structured-output,0,6,13,78,0
2310,14,Llama 3.2 3B Instruct,zero-shot,0,3,5,15,0
2311,14,Llama 3.2 3B Instruct,few-shot,0,3,2,6,0
2312,14,Llama 3.2 3B Instruct,chain-of-thought,0,3,5,15,0
2313,14,Llama 3.2 3B Instruct,structured-output,0,3,6,18,0
2314,14,Phi-4-mini 3.8B Instruct,zero-shot,0,3,3,9,0
2315,14,Phi-4-mini 3.8B Instruct,few-shot,0,3,4,12,0
2316,14,Phi-4-mini 3.8B Instruct,chain-of-thought,0,3,4,12,0
2317,14,Phi-4-mini 3.8B Instruct,structured-output,0,3,3,9,0
2318,14,Qwen 2.5 3B Instruct,zero-shot,0,3,2,6,0
2319,14,Qwen 2.5 3B Instruct,few-shot,0,3,3,9,0
2320,14,Qwen 2.5 3B Instruct,chain-of-thought,0,3,3,9,0
2321,14,Qwen 2.5 3B Instruct,structured-output,0,3,3,9,0
2322,14,Gemma-SEA-LION v4 4B,zero-shot,0,3,6,18,0
2323,14,Gemma-SEA-LION v4 4B,few-shot,0,3,5,15,0
2324,14,Gemma-SEA-LION v4 4B,chain-of-thought,0,3,6,18,0
2325,14,Gemma-SEA-LION v4 4B,structured-output,0,3,6,18,0
2326,14,MedGemma 4B,zero-shot,0,3,6,18,0
2327,14,MedGemma 4B,few-shot,0,3,4,12,0
2328,14,MedGemma 4B,chain-of-thought,0,3,6,18,0
2329,14,MedGemma 4B,structured-output,0,3,6,18,0
2330,15,Llama 3.2 3B Instruct,zero-shot,0,3,4,12,0
2331,15,Llama 3.2 3B Instruct,few-shot,0,3,3,9,0
2332,15,Llama 3.2 3B Instruct,chain-of-thought,0,3,4,12,0
2333,15,Llama 3.2 3B Instruct,structured-output,0,3,1,3,0
2334,15,Phi-4-mini 3.8B Instruct,zero-shot,0,3,1,3,0
2335,15,Phi-4-mini 3.8B Instruct,few-shot,0,3,2,6,0
2336,15,Phi-4-mini 3.8B Instruct,chain-of-thought,0,3,4,12,0
2337,15,Phi-4-mini 3.8B Instruct,structured-output,0,3,2,6,0
2338,15,Qwen 2.5 3B Instruct,zero-shot,0,3,4,12,0
2339,15,Qwen 2.5 3B Instruct,few-shot,0,3,2,6,0
2340,15,Qwen 2.5 3B Instruct,chain-of-thought,0,3,2,6,0
2341,15,Qwen 2.5 3B Instruct,structured-output,0,3,2,6,0
2342,15,Gemma-SEA-LION v4 4B,zero-shot,0,3,4,12,0
2343,15,Gemma-SEA-LION v4 4B,few-shot,0,3,2,6,0
2344,15,Gemma-SEA-LION v4 4B,chain-of-thought,0,3,4,12,0
2345,15,Gemma-SEA-LION v4 4B,structured-output,0,3,4,12,0
2346,15,MedGemma 4B,zero-shot,0,3,4,12,0
2347,15,MedGemma 4B,few-shot,0,3,2,6,0
2348,15,MedGemma 4B,chain-of-thought,0,3,4,12,0
2349,15,MedGemma 4B,structured-output,0,3,4,12,0
2350,16,Llama 3.2 3B Instruct,zero-shot,0,6,19,114,0
2351,16,Llama 3.2 3B Instruct,few-shot,0,6,16,96,0
2352,16,Llama 3.2 3B Instruct,chain-of-thought,0,6,3,18,0
2353,16,Llama 3.2 3B Instruct,structured-output,0,6,11,66,0
2354,16,Phi-4-mini 3.8B Instruct,zero-shot,0,6,2,12,0
2355,16,Phi-4-mini 3.8B Instruct,few-shot,0,6,10,60,0
2356,16,Phi-4-mini 3.8B Instruct,chain-of-thought,0,6,2,12,0
2357,16,Phi-4-mini 3.8B Instruct,structured-output,0,6,6,36,0
2358,16,Qwen 2.5 3B Instruct,zero-shot,0,6,8,48,0
2359,16,Qwen 2.5 3B Instruct,few-shot,0,6,2,12,0
2360,16,Qwen 2.5 3B Instruct,chain-of-thought,0,6,8,48,0
2361,16,Qwen 2.5 3B Instruct,structured-output,0,6,10,60,0
2365,16,Gemma-SEA-LION v4 4B,structured-output,0,6,20,120,0
2367,16,MedGemma 4B,few-shot,0,6,25,150,0
2368,16,MedGemma 4B,chain-of-thought,0,6,24,144,0
2369,16,MedGemma 4B,structured-output,0,6,24,144,0
2370,17,Llama 3.2 3B Instruct,zero-shot,0,22,17,374,0
2371,17,Llama 3.2 3B Instruct,few-shot,0,22,15,330,0
2372,17,Llama 3.2 3B Instruct,chain-of-thought,0,22,11,242,0
2373,17,Llama 3.2 3B Instruct,structured-output,0,22,15,330,0
2374,17,Phi-4-mini 3.8B Instruct,zero-shot,0,22,20,440,0
2375,17,Phi-4-mini 3.8B Instruct,few-shot,0,22,21,462,0
2376,17,Phi-4-mini 3.8B Instruct,chain-of-thought,0,22,2,44,0
2377,17,Phi-4-mini 3.8B Instruct,structured-output,0,22,2,44,0
2378,17,Qwen 2.5 3B Instruct,zero-shot,0,22,10,220,0
2379,17,Qwen 2.5 3B Instruct,few-shot,0,22,10,220,0
2380,17,Qwen 2.5 3B Instruct,chain-of-thought,0,22,10,220,0
2381,17,Qwen 2.5 3B Instruct,structured-output,0,22,9,198,0
2382,17,Gemma-SEA-LION v4 4B,zero-shot,0,22,14,308,0
2383,17,Gemma-SEA-LION v4 4B,few-shot,0,22,17,374,0
2384,17,Gemma-SEA-LION v4 4B,chain-of-thought,0,22,14,308,0
2385,17,Gemma-SEA-LION v4 4B,structured-output,0,22,13,286,0
2386,17,MedGemma 4B,zero-shot,0,22,18,396,0
2387,17,MedGemma 4B,few-shot,0,22,18,396,0
2388,17,MedGemma 4B,chain-of-thought,0,22,18,396,0
2389,17,MedGemma 4B,structured-output,0,22,18,396,0
2390,18,Llama 3.2 3B Instruct,zero-shot,0,8,13,104,0
2391,18,Llama 3.2 3B Instruct,few-shot,0,8,13,104,0
2392,18,Llama 3.2 3B Instruct,chain-of-thought,0,8,12,96,0
2393,18,Llama 3.2 3B Instruct,structured-output,0,8,10,80,0
2394,18,Phi-4-mini 3.8B Instruct,zero-shot,0,8,16,128,0
2395,18,Phi-4-mini 3.8B Instruct,few-shot,0,8,8,64,0
2396,18,Phi-4-mini 3.8B Instruct,chain-of-thought,0,8,17,136,0
2397,18,Phi-4-mini 3.8B Instruct,structured-output,0,8,9,72,0
2398,18,Qwen 2.5 3B Instruct,zero-shot,0,8,3,24,0
2399,18,Qwen 2.5 3B Instruct,few-shot,0,8,11,88,0
2400,18,Qwen 2.5 3B Instruct,chain-of-thought,0,8,3,24,0
2401,18,Qwen 2.5 3B Instruct,structured-output,0,8,8,64,0
2402,18,Gemma-SEA-LION v4 4B,zero-shot,0,8,12,96,0
2403,18,Gemma-SEA-LION v4 4B,few-shot,0,8,10,80,0
2404,18,Gemma-SEA-LION v4 4B,chain-of-thought,0,8,15,120,0
2405,18,Gemma-SEA-LION v4 4B,structured-output,0,8,12,96,0
2406,18,MedGemma 4B,zero-shot,0,8,17,136,0
2407,18,MedGemma 4B,few-shot,0,8,18,144,0
2408,18,MedGemma 4B,chain-of-thought,0,8,13,104,0
2409,18,MedGemma 4B,structured-output,0,8,17,136,0
2410,19,Llama 3.2 3B Instruct,zero-shot,0,7,1,7,0
2413,19,Llama 3.2 3B Instruct,structured-output,0,7,8,56,0
2414,19,Phi-4-mini 3.8B Instruct,zero-shot,0,7,5,35,0
2415,19,Phi-4-mini 3.8B Instruct,few-shot,0,7,6,42,0
2417,19,Phi-4-mini 3.8B Instruct,structured-output,0,7,5,35,0
2418,19,Qwen 2.5 3B Instruct,zero-shot,0,7,9,63,0
2419,19,Qwen 2.5 3B Instruct,few-shot,0,7,12,84,0
2420,19,Qwen 2.5 3B Instruct,chain-of-thought,0,7,8,56,0
2421,19,Qwen 2.5 3B Instruct,structured-output,0,7,9,63,0
2422,19,Gemma-SEA-LION v4 4B,zero-shot,0,7,10,70,0
2423,19,Gemma-SEA-LION v4 4B,few-shot,0,7,9,63,0
2424,19,Gemma-SEA-LION v4 4B,chain-of-thought,0,7,10,70,0
2425,19,Gemma-SEA-LION v4 4B,structured-output,0,7,10,70,0
2426,19,MedGemma 4B,zero-shot,0,7,9,63,0
2427,19,MedGemma 4B,few-shot,0,7,9,63,0
2428,19,MedGemma 4B,chain-of-thought,0,7,9,63,0
2429,19,MedGemma 4B,structured-output,0,7,9,63,0
2430,20,Llama 3.2 3B Instruct,zero-shot,0,8,10,80,0
2431,20,Llama 3.2 3B Instruct,few-shot,0,8,2,16,0
2432,20,Llama 3.2 3B Instruct,chain-of-thought,0,8,9,72,0
2433,20,Llama 3.2 3B Instruct,structured-output,0,8,12,96,0
2434,20,Phi-4-mini 3.8B Instruct,zero-shot,0,8,10,80,0
2435,20,Phi-4-mini 3.8B Instruct,few-shot,0,8,5,40,0
2437,20,Phi-4-mini 3.8B Instruct,structured-output,0,8,8,64,0
2438,20,Qwen 2.5 3B Instruct,zero-shot,0,8,10,80,0
2439,20,Qwen 2.5 3B Instruct,few-shot,0,8,8,64,0
2440,20,Qwen 2.5 3B Instruct,chain-of-thought,0,8,8,64,0
2441,20,Qwen 2.5 3B Instruct,structured-output,0,8,10,80,0
2442,20,Gemma-SEA-LION v4 4B,zero-shot,0,8,12,96,0
2443,20,Gemma-SEA-LION v4 4B,few-shot,0,8,11,88,0
2444,20,Gemma-SEA-LION v4 4B,chain-of-thought,0,8,12,96,0
2445,20,Gemma-SEA-LION v4 4B,structured-output,0,8,12,96,0
2446,20,MedGemma 4B,zero-shot,0,8,11,88,0
